SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.012,12ª REGIAO,251445,SAO JOSE DOS RAMOS,6.037,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251490,SAO MAMEDE,7.682,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.012,12ª REGIAO,251500,SAO MIGUEL DE TAIPU,7.450,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.003,3ª REGIAO,251510,SAO SEBASTIAO DE LAGOA DE ROCA,11.793,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251520,SAO SEBASTIAO DO UMBUZEIRO,3.534,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.004,4ª REGIAO,251540,SAO VICENTE DO SERIDO,10.919,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.001,1ª REGIAO MATA ATLANTICA,251530,SAPE,52.977,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251550,SERRA BRANCA,13.807,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251560,SERRA DA RAIZ,3.114,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.007,7ª REGIAO,251570,SERRA GRANDE,2.921,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251580,SERRA REDONDA,7.001,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251590,SERRARIA,6.037,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251593,SERTAOZINHO,5.152,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.001,1ª REGIAO MATA ATLANTICA,251597,SOBRADO,7.845,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251600,SOLANEA,26.051,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251610,SOLEDADE,15.211,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.004,4ª REGIAO,251615,SOSSEGO,3.631,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.010,10ª REGIAO,251620,SOUSA,69.997,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251630,SUME,17.096,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251640,TACIMA,11.024,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251650,TAPEROA,15.505,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.011,11ª REGIAO,251660,TAVARES,14.791,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251670,TEIXEIRA,15.333,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251675,TENORIO,3.103,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,251680,TRIUNFO,9.473,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,251690,UIRAUNA,15.356,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.015,15ª REGIAO,251700,UMBUZEIRO,9.914,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251710,VARZEA,2.870,,
